"Year","Canton","Sex","Age","Acquisition of Swiss citizenship"
"2011","Bern / Berne","Female","72 years",0
"2011","Bern / Berne","Female","73 years",1
"2011","Bern / Berne","Female","74 years",1
"2011","Bern / Berne","Female","75 years",0
"2011","Bern / Berne","Female","76 years",0
"2011","Bern / Berne","Female","77 years",0
"2011","Bern / Berne","Female","78 years",1
"2011","Bern / Berne","Female","79 years",0
"2011","Bern / Berne","Female","80 years",0
"2011","Bern / Berne","Female","81 years",0
"2011","Bern / Berne","Female","82 years",0
"2011","Bern / Berne","Female","83 years",0
"2011","Bern / Berne","Female","84 years",0
"2011","Bern / Berne","Female","85 years",1
"2011","Bern / Berne","Female","86 years",0
"2011","Bern / Berne","Female","87 years",0
"2011","Bern / Berne","Female","88 years",0
"2011","Bern / Berne","Female","89 years",0
"2011","Bern / Berne","Female","90 years",0
"2011","Bern / Berne","Female","91 years",0
"2011","Bern / Berne","Female","92 years",0
"2011","Bern / Berne","Female","93 years",0
"2011","Bern / Berne","Female","94 years",0
"2011","Bern / Berne","Female","95 years",0
"2011","Bern / Berne","Female","96 years",0
"2011","Bern / Berne","Female","97 years",0
"2011","Bern / Berne","Female","98 years",0
"2011","Bern / Berne","Female","99 years",0
"2011","Bern / Berne","Female","100 years or older",0
"2011","Luzern","Male","0 years",7
"2011","Luzern","Male","1 year",9
"2011","Luzern","Male","2 years",16
"2011","Luzern","Male","3 years",10
"2011","Luzern","Male","4 years",14
"2011","Luzern","Male","5 years",9
"2011","Luzern","Male","6 years",23
"2011","Luzern","Male","7 years",11
"2011","Luzern","Male","8 years",20
"2011","Luzern","Male","9 years",17
"2011","Luzern","Male","10 years",14
"2011","Luzern","Male","11 years",13
"2011","Luzern","Male","12 years",16
"2011","Luzern","Male","13 years",25
"2011","Luzern","Male","14 years",23
"2011","Luzern","Male","15 years",21
"2011","Luzern","Male","16 years",29
"2011","Luzern","Male","17 years",28
"2011","Luzern","Male","18 years",22
"2011","Luzern","Male","19 years",17
"2011","Luzern","Male","20 years",17
"2011","Luzern","Male","21 years",11
"2011","Luzern","Male","22 years",17
"2011","Luzern","Male","23 years",10
"2011","Luzern","Male","24 years",6
"2011","Luzern","Male","25 years",10
"2011","Luzern","Male","26 years",3
"2011","Luzern","Male","27 years",14
"2011","Luzern","Male","28 years",18
"2011","Luzern","Male","29 years",10
"2011","Luzern","Male","30 years",14
"2011","Luzern","Male","31 years",16
"2011","Luzern","Male","32 years",13
"2011","Luzern","Male","33 years",14
"2011","Luzern","Male","34 years",15
"2011","Luzern","Male","35 years",12
"2011","Luzern","Male","36 years",11
"2011","Luzern","Male","37 years",22
"2011","Luzern","Male","38 years",8
"2011","Luzern","Male","39 years",29
"2011","Luzern","Male","40 years",14
"2011","Luzern","Male","41 years",14
"2011","Luzern","Male","42 years",21
"2011","Luzern","Male","43 years",13
"2011","Luzern","Male","44 years",22
"2011","Luzern","Male","45 years",20
"2011","Luzern","Male","46 years",14
"2011","Luzern","Male","47 years",21
"2011","Luzern","Male","48 years",15
"2011","Luzern","Male","49 years",12
"2011","Luzern","Male","50 years",5
"2011","Luzern","Male","51 years",8
"2011","Luzern","Male","52 years",15
"2011","Luzern","Male","53 years",6
"2011","Luzern","Male","54 years",4
"2011","Luzern","Male","55 years",7
"2011","Luzern","Male","56 years",3
"2011","Luzern","Male","57 years",6
"2011","Luzern","Male","58 years",1
"2011","Luzern","Male","59 years",1
"2011","Luzern","Male","60 years",3
"2011","Luzern","Male","61 years",4
"2011","Luzern","Male","62 years",3
