Year,Canton,Education_1,Education_2,Education_3
2021,Solothurn,307991.0,637006.0,467742.0
2021,St. Gallen,554760.0,1192139.0,842110.0
2021,Thurgau,282305.0,674738.0,471654.0
2021,Ticino,408474.0,839292.0,559523.0
2021,Uri,40179.0,92913.0,51254.0
2021,Valais / Wallis,455785.0,837336.0,480834.0
2021,Vaud,952063.0,1588170.0,1489304.0
2021,Zug,95195.0,245436.0,307097.0
2021,Zürich,1348380.0,2903155.0,3535692.0
2022,Aargau,718016.0,1577337.0,1261170.0
2022,Appenzell Ausserrhoden,53248.0,127748.0,95450.0
2022,Appenzell Innerrhoden,14019.0,39955.0,26254.0
2022,Basel-Landschaft,281280.0,621787.0,581842.0
2022,Basel-Stadt,198972.0,308402.0,483013.0
2022,Bern / Berne,966864.0,2382616.0,1926017.0
2022,CH,8887237.0,18475868.0,16483807.0
2022,Fribourg / Freiburg,405761.0,725267.0,509130.0
2022,Genève,576102.0,811308.0,969390.0
2022,Glarus,46122.0,92459.0,68641.0
2022,Graubünden / Grigioni / Grischun,211542.0,478621.0,347759.0
2022,Jura,97369.0,182701.0,89619.0
2022,Luzern,402479.0,927366.0,783372.0
2022,Neuchâtel,215407.0,389713.0,278503.0
2022,Nidwalden,39251.0,103374.0,84261.0
2022,Obwalden,40081.0,89478.0,64060.0
2022,Schaffhausen,81216.0,196722.0,151273.0
2022,Schwyz,158886.0,363745.0,309402.0
2022,Solothurn,301316.0,655764.0,465397.0
2022,St. Gallen,549859.0,1218636.0,853194.0
2022,Thurgau,275935.0,670785.0,500729.0
2022,Ticino,402343.0,845743.0,570891.0
2022,Uri,43274.0,87002.0,55504.0
2022,Valais / Wallis,438376.0,818234.0,538650.0
2022,Vaud,933560.0,1593731.0,1542508.0
2022,Zug,92466.0,240353.0,321109.0
2022,Zürich,1342566.0,2926433.0,3605430.0
