Year,Canton,Age Group,Net Migration
2012,Nidwalden,30-39,100
2012,Nidwalden,40-49,74
2012,Nidwalden,50-59,31
2012,Nidwalden,60-69,-7
2012,Nidwalden,70-79,-8
2012,Nidwalden,80-89,-3
2012,Nidwalden,90-99,-1
2012,Nidwalden,100-109,0
2012,Obwalden,0-9,3
2012,Obwalden,10-19,20
2012,Obwalden,20-29,86
2012,Obwalden,30-39,85
2012,Obwalden,40-49,53
2012,Obwalden,50-59,5
2012,Obwalden,60-69,-7
2012,Obwalden,70-79,-3
2012,Obwalden,80-89,0
2012,Obwalden,90-99,1
2012,Obwalden,100-109,0
2012,Schaffhausen,0-9,84
2012,Schaffhausen,10-19,59
2012,Schaffhausen,20-29,258
2012,Schaffhausen,30-39,240
2012,Schaffhausen,40-49,90
2012,Schaffhausen,50-59,23
2012,Schaffhausen,60-69,-29
2012,Schaffhausen,70-79,1
2012,Schaffhausen,80-89,4
2012,Schaffhausen,90-99,-5
2012,Schaffhausen,100-109,-1
2012,Schwyz,0-9,64
2012,Schwyz,10-19,68
2012,Schwyz,20-29,393
2012,Schwyz,30-39,278
2012,Schwyz,40-49,142
2012,Schwyz,50-59,51
2012,Schwyz,60-69,-36
2012,Schwyz,70-79,1
2012,Schwyz,80-89,5
2012,Schwyz,90-99,0
2012,Schwyz,100-109,-1
2012,Solothurn,0-9,231
2012,Solothurn,10-19,214
2012,Solothurn,20-29,547
2012,Solothurn,30-39,493
2012,Solothurn,40-49,228
2012,Solothurn,50-59,49
2012,Solothurn,60-69,-93
2012,Solothurn,70-79,14
2012,Solothurn,80-89,8
2012,Solothurn,90-99,-2
2012,Solothurn,100-109,-1
2012,St. Gallen,0-9,320
2012,St. Gallen,10-19,439
2012,St. Gallen,20-29,1553
2012,St. Gallen,30-39,1002
2012,St. Gallen,40-49,567
2012,St. Gallen,50-59,67
2012,St. Gallen,60-69,-150
2012,St. Gallen,70-79,1
2012,St. Gallen,80-89,1
2012,St. Gallen,90-99,-2
2012,St. Gallen,100-109,0
2012,Thurgau,0-9,272
2012,Thurgau,10-19,161
2012,Thurgau,20-29,1015
2012,Thurgau,30-39,664
2012,Thurgau,40-49,369
2012,Thurgau,50-59,77
2012,Thurgau,60-69,-32
2012,Thurgau,70-79,14
2012,Thurgau,80-89,0
2012,Thurgau,90-99,0
2012,Thurgau,100-109,0
2012,Ticino,0-9,480
2012,Ticino,10-19,606
2012,Ticino,20-29,1275
2012,Ticino,30-39,1175
2012,Ticino,40-49,882
2012,Ticino,50-59,399
2012,Ticino,60-69,91
2012,Ticino,70-79,98
2012,Ticino,80-89,19
2012,Ticino,90-99,-3
2012,Ticino,100-109,-1
2012,Uri,0-9,26
2012,Uri,10-19,10
2012,Uri,20-29,108
2012,Uri,30-39,59
2012,Uri,40-49,39
2012,Uri,50-59,24
2012,Uri,60-69,0
2012,Uri,70-79,2
2012,Uri,80-89,2
2012,Uri,90-99,-2
2012,Uri,100-109,0
2012,Valais / Wallis,0-9,424
2012,Valais / Wallis,10-19,610
2012,Valais / Wallis,20-29,936
2012,Valais / Wallis,30-39,974
2012,Valais / Wallis,40-49,590
2012,Valais / Wallis,50-59,279
2012,Valais / Wallis,60-69,12
2012,Valais / Wallis,70-79,-3
2012,Valais / Wallis,80-89,0
2012,Valais / Wallis,90-99,-8
2012,Valais / Wallis,100-109,0
2012,Vaud,0-9,875
2012,Vaud,10-19,2180
2012,Vaud,20-29,3180
2012,Vaud,30-39,2615
2012,Vaud,40-49,1226
2012,Vaud,50-59,230
2012,Vaud,60-69,-296
2012,Vaud,70-79,12
2012,Vaud,80-89,-4
2012,Vaud,90-99,-5
2012,Vaud,100-109,0
2012,Zug,0-9,152
2012,Zug,10-19,30
2012,Zug,20-29,399
2012,Zug,30-39,464
2012,Zug,40-49,157
2012,Zug,50-59,34
2012,Zug,60-69,-56
2012,Zug,70-79,11
2012,Zug,80-89,3
2012,Zug,90-99,-2
2012,Zug,100-109,0
2012,Zürich,0-9,959
2012,Zürich,10-19,1120
2012,Zürich,20-29,6350
2012,Zürich,30-39,4063
2012,Zürich,40-49,1676
2012,Zürich,50-59,124
2012,Zürich,60-69,-569
2012,Zürich,70-79,-63
2012,Zürich,80-89,-10
2012,Zürich,90-99,-9
2012,Zürich,100-109,0
2013,Aargau,0-9,505
2013,Aargau,10-19,456
2013,Aargau,20-29,1968
2013,Aargau,30-39,1369
2013,Aargau,40-49,735
2013,Aargau,50-59,163
2013,Aargau,60-69,-223
2013,Aargau,70-79,-12
2013,Aargau,80-89,7
2013,Aargau,90-99,-6
2013,Aargau,100-109,0
2013,Appenzell Ausserrhoden,0-9,32
2013,Appenzell Ausserrhoden,10-19,35
2013,Appenzell Ausserrhoden,20-29,113
2013,Appenzell Ausserrhoden,30-39,102
2013,Appenzell Ausserrhoden,40-49,44
2013,Appenzell Ausserrhoden,50-59,7
2013,Appenzell Ausserrhoden,60-69,-11
2013,Appenzell Ausserrhoden,70-79,3
2013,Appenzell Ausserrhoden,80-89,-3
2013,Appenzell Ausserrhoden,90-99,-1
2013,Appenzell Ausserrhoden,100-109,0
2013,Appenzell Innerrhoden,0-9,2
2013,Appenzell Innerrhoden,10-19,1
2013,Appenzell Innerrhoden,20-29,39
2013,Appenzell Innerrhoden,30-39,18
2013,Appenzell Innerrhoden,40-49,15
2013,Appenzell Innerrhoden,50-59,2
2013,Appenzell Innerrhoden,60-69,-2
2013,Appenzell Innerrhoden,70-79,0
2013,Appenzell Innerrhoden,80-89,0
2013,Appenzell Innerrhoden,90-99,0
2013,Appenzell Innerrhoden,100-109,0
2013,Basel-Landschaft,0-9,299
2013,Basel-Landschaft,10-19,160
2013,Basel-Landschaft,20-29,561
2013,Basel-Landschaft,30-39,507
2013,Basel-Landschaft,40-49,202
2013,Basel-Landschaft,50-59,86
2013,Basel-Landschaft,60-69,-68
2013,Basel-Landschaft,70-79,9
2013,Basel-Landschaft,80-89,-10
2013,Basel-Landschaft,90-99,-2
2013,Basel-Landschaft,100-109,0
2013,Basel-Stadt,0-9,313
2013,Basel-Stadt,10-19,259
2013,Basel-Stadt,20-29,1301
2013,Basel-Stadt,30-39,961
2013,Basel-Stadt,40-49,485
2013,Basel-Stadt,50-59,106
2013,Basel-Stadt,60-69,-131
2013,Basel-Stadt,70-79,-35
2013,Basel-Stadt,80-89,-6
2013,Basel-Stadt,90-99,-7
2013,Basel-Stadt,100-109,0
2013,Bern / Berne,0-9,1035
2013,Bern / Berne,10-19,842
2013,Bern / Berne,20-29,2999
2013,Bern / Berne,30-39,2253
2013,Bern / Berne,40-49,1205
2013,Bern / Berne,50-59,436
2013,Bern / Berne,60-69,-147
2013,Bern / Berne,70-79,11
2013,Bern / Berne,80-89,10
2013,Bern / Berne,90-99,-3
2013,Bern / Berne,100-109,1
2013,Fribourg / Freiburg,0-9,521
2013,Fribourg / Freiburg,10-19,432
2013,Fribourg / Freiburg,20-29,918
2013,Fribourg / Freiburg,30-39,936
2013,Fribourg / Freiburg,40-49,561
2013,Fribourg / Freiburg,50-59,150
2013,Fribourg / Freiburg,60-69,-24
2013,Fribourg / Freiburg,70-79,20
2013,Fribourg / Freiburg,80-89,14
2013,Fribourg / Freiburg,90-99,-1
2013,Fribourg / Freiburg,100-109,0
2013,Genève,0-9,869
2013,Genève,10-19,1011
2013,Genève,20-29,3873
2013,Genève,30-39,2610
2013,Genève,40-49,1236
2013,Genève,50-59,387
2013,Genève,60-69,-315
2013,Genève,70-79,16
2013,Genève,80-89,23
2013,Genève,90-99,-9
2013,Genève,100-109,0
2013,Glarus,0-9,17
2013,Glarus,10-19,53
2013,Glarus,20-29,128
2013,Glarus,30-39,109
2013,Glarus,40-49,72
2013,Glarus,50-59,12
2013,Glarus,60-69,-20
2013,Glarus,70-79,1
2013,Glarus,80-89,-2
2013,Glarus,90-99,0
2013,Glarus,100-109,0
2013,Graubünden / Grigioni / Grischun,0-9,243
