Year,Canton,Age Group,marriages
1983,Solothurn,20-29,699
1983,Solothurn,30-39,119
1983,Solothurn,40-49,15
1983,Solothurn,50-59,6
1983,Solothurn,60-69,3
1983,Solothurn,70-79,0
1983,Solothurn,80-89,0
1983,St. Gallen,10-19,5
1983,St. Gallen,20-29,1369
1983,St. Gallen,30-39,182
1983,St. Gallen,40-49,38
1983,St. Gallen,50-59,6
1983,St. Gallen,60-69,4
1983,St. Gallen,70-79,0
1983,St. Gallen,80-89,0
1983,Thurgau,10-19,1
1983,Thurgau,20-29,635
1983,Thurgau,30-39,97
1983,Thurgau,40-49,19
1983,Thurgau,50-59,7
1983,Thurgau,60-69,1
1983,Thurgau,70-79,0
1983,Thurgau,80-89,0
1983,Ticino,10-19,1
1983,Ticino,20-29,637
1983,Ticino,30-39,117
1983,Ticino,40-49,31
1983,Ticino,50-59,9
1983,Ticino,60-69,5
1983,Ticino,70-79,0
1983,Ticino,80-89,0
1983,Uri,10-19,0
1983,Uri,20-29,119
1983,Uri,30-39,17
1983,Uri,40-49,1
1983,Uri,50-59,1
1983,Uri,60-69,0
1983,Uri,70-79,0
1983,Uri,80-89,0
1983,Valais / Wallis,10-19,4
1983,Valais / Wallis,20-29,894
1983,Valais / Wallis,30-39,74
1983,Valais / Wallis,40-49,17
1983,Valais / Wallis,50-59,6
1983,Valais / Wallis,60-69,2
1983,Valais / Wallis,70-79,0
1983,Valais / Wallis,80-89,0
1983,Vaud,10-19,2
1983,Vaud,20-29,1462
1983,Vaud,30-39,297
1983,Vaud,40-49,75
1983,Vaud,50-59,26
1983,Vaud,60-69,6
1983,Vaud,70-79,3
1983,Vaud,80-89,0
1983,Zug,10-19,1
1983,Zug,20-29,233
1983,Zug,30-39,59
1983,Zug,40-49,4
1983,Zug,50-59,0
1983,Zug,60-69,0
1983,Zug,70-79,0
1983,Zug,80-89,0
1983,Zürich,10-19,12
1983,Zürich,20-29,3181
1983,Zürich,30-39,868
1983,Zürich,40-49,155
1983,Zürich,50-59,57
1983,Zürich,60-69,12
1983,Zürich,70-79,6
1983,Zürich,80-89,0
1984,Aargau,10-19,0
1984,Aargau,20-29,1455
1984,Aargau,30-39,303
1984,Aargau,40-49,46
1984,Aargau,50-59,9
1984,Aargau,60-69,6
1984,Aargau,70-79,2
1984,Aargau,80-89,0
1984,Appenzell Ausserrhoden,10-19,0
1984,Appenzell Ausserrhoden,20-29,150
1984,Appenzell Ausserrhoden,30-39,21
1984,Appenzell Ausserrhoden,40-49,4
1984,Appenzell Ausserrhoden,50-59,1
1984,Appenzell Ausserrhoden,60-69,0
1984,Appenzell Ausserrhoden,70-79,0
1984,Appenzell Ausserrhoden,80-89,0
1984,Appenzell Innerrhoden,10-19,0
1984,Appenzell Innerrhoden,20-29,61
1984,Appenzell Innerrhoden,30-39,8
1984,Appenzell Innerrhoden,40-49,1
1984,Appenzell Innerrhoden,50-59,2
1984,Appenzell Innerrhoden,60-69,0
1984,Appenzell Innerrhoden,70-79,0
1984,Appenzell Innerrhoden,80-89,0
1984,Basel-Landschaft,10-19,0
1984,Basel-Landschaft,20-29,715
1984,Basel-Landschaft,30-39,164
1984,Basel-Landschaft,40-49,29
1984,Basel-Landschaft,50-59,14
1984,Basel-Landschaft,60-69,3
1984,Basel-Landschaft,70-79,0
1984,Basel-Landschaft,80-89,0
1984,Basel-Stadt,10-19,2
1984,Basel-Stadt,20-29,422
1984,Basel-Stadt,30-39,136
1984,Basel-Stadt,40-49,27
1984,Basel-Stadt,50-59,6
1984,Basel-Stadt,60-69,2
1984,Basel-Stadt,70-79,1
1984,Basel-Stadt,80-89,0
1984,Bern / Berne,10-19,3
1984,Bern / Berne,20-29,2847
1984,Bern / Berne,30-39,599
1984,Bern / Berne,40-49,84
1984,Bern / Berne,50-59,42
1984,Bern / Berne,60-69,13
